Market_and_Exchange_Names,As_of_Date_In_Form_YYMMDD,Open_Interest_All,Prod_Merc_Positions_Long_All,Prod_Merc_Positions_Short_All,Swap_Positions_Long_All,Swap__Positions_Short_All,M_Money_Positions_Long_All,M_Money_Positions_Short_All,Other_Rept_Positions_Long_All,Other_Rept_Positions_Short_All,Swap_net,Managed_net,other_net,Prod_net,Swap_ratio,Managed_ratio,other_ratio,Prod_ratio,spot_price
ICE Brent Crude Futures - ICE Futures Europe,170103,2194242,484834,1245935,484259,32588,499016,51080,78080,234939,451671,447936,-156859,-761101,0.205843749231,0.204141566883,-0.0714866455022,-0.346862834637,55.47
ICE Brent Crude Futures and Options - ICE Futures Europe,170103,2684002,553658,1334310,475188,21507,501681,43633,68787,216764,453681,458048,-147977,-780652,0.169031543196,0.170658591163,-0.0551329693495,-0.290853732598,55.47
ICE Brent Crude Futures - ICE Futures Europe,170110,2244190,541246,1275998,477211,30411,493613,52462,78295,250972,446800,441151,-172677,-734752,0.199091877247,0.196574710697,-0.0769440198914,-0.327401868826,53.64
ICE Brent Crude Futures and Options - ICE Futures Europe,170110,2721569,609569,1360250,467975,20673,496578,48012,68391,232159,447302,448566,-163768,-750681,0.16435445877,0.164818896747,-0.0601741128004,-0.275826554462,53.64
ICE Brent Crude Futures - ICE Futures Europe,170117,2230335,510538,1248626,466159,34711,495700,39858,78593,254261,431448,455842,-175668,-738088,0.193445379282,0.204382749677,-0.0787630557741,-0.330931452002,55.47
ICE Brent Crude Futures and Options - ICE Futures Europe,170117,2728061,580241,1337852,463446,25108,503337,40840,68075,236572,438338,462497,-168497,-757611,0.160677492182,0.169533232578,-0.0617643813683,-0.277710432428,55.47
ICE Brent Crude Futures - ICE Futures Europe,170124,2352735,609473,1325197,463121,30914,479588,37180,78052,255947,432207,442408,-177895,-715724,0.183704072069,0.188039876994,-0.0756120005015,-0.304209356345,55.44
ICE Brent Crude Futures and Options - ICE Futures Europe,170124,2858057,682879,1415531,460019,22407,490194,41842,68768,240532,437612,448352,-171764,-732652,0.153115210788,0.156873008481,-0.06009817159,-0.256346182039,55.44
ICE Brent Crude Futures - ICE Futures Europe,170131,2423159,652294,1380994,445093,44709,517520,44872,86298,247395,400384,472648,-161097,-728700,0.165232244355,0.195054472282,-0.066482224237,-0.300723146933,55.58
ICE Brent Crude Futures and Options - ICE Futures Europe,170131,2863007,724705,1460819,446144,30826,518278,45411,71518,239811,415318,472867,-168293,-736114,0.145063564287,0.165164458208,-0.058781903083,-0.257112190085,55.58
ICE Brent Crude Futures - ICE Futures Europe,170207,2424972,650617,1361324,438650,41529,511043,48856,87410,248655,397121,462187,-161245,-710707,0.163763127987,0.190594778002,-0.0664935512657,-0.293078435545,55.05
ICE Brent Crude Futures and Options - ICE Futures Europe,170207,2872519,727899,1444633,442155,27728,513279,50419,67589,240338,414427,462860,-172749,-716734,0.144273023085,0.161133834102,-0.0601385056113,-0.249514102431,55.05
ICE Brent Crude Futures - ICE Futures Europe,170214,2392038,594946,1334563,437122,39809,522785,41723,93578,249372,397313,481062,-155794,-739617,0.166098113826,0.201109681368,-0.0651302362253,-0.309199519406,55.97
ICE Brent Crude Futures and Options - ICE Futures Europe,170214,2850440,671397,1419381,449327,31100,525405,44006,72177,241427,418227,481399,-169250,-747984,0.146723663715,0.168885856219,-0.059376797968,-0.262410013893,55.97
ICE Brent Crude Futures - ICE Futures Europe,170221,2383704,571051,1350804,439510,36629,553253,43222,95907,243105,402881,510031,-147198,-779753,0.169014693099,0.213965744069,-0.0617517946859,-0.32711821602,56.66
ICE Brent Crude Futures and Options - ICE Futures Europe,170221,2848501,646923,1437038,458284,29945,552734,45125,75013,235168,428339,507609,-160155,-790115,0.150373477138,0.17820214913,-0.0562243088558,-0.277379225073,56.66
ICE Brent Crude Futures - ICE Futures Europe,170228,2420895,619286,1375714,458213,36242,525556,56288,95750,244464,421971,469268,-148714,-756428,0.174303718253,0.193840707672,-0.0614293474108,-0.312457995906,56.51
ICE Brent Crude Futures and Options - ICE Futures Europe,170228,2871503,694122,1460754,477575,31226,526826,57637,75057,238181,446349,469189,-163124,-766632,0.155440896283,0.163394918968,-0.056807880751,-0.266979348446,56.51
ICE Brent Crude Futures - ICE Futures Europe,170307,2368175,573529,1326509,457831,41141,534398,64871,92016,238760,416690,469527,-146744,-752980,0.175954057449,0.198265330898,-0.0619650152544,-0.317957921184,55.92
ICE Brent Crude Futures and Options - ICE Futures Europe,170307,2839773,650356,1413724,470303,31724,539543,66874,71530,233399,438579,472669,-161869,-763368,0.154441569802,0.166446050441,-0.0570006828011,-0.268813035408,55.92
ICE Brent Crude Futures - ICE Futures Europe,170314,2383433,615589,1326717,487452,42064,504511,98541,105523,234738,445388,405970,-129215,-711128,0.186868269425,0.170329940049,-0.0542138167928,-0.298362907621,50.92
ICE Brent Crude Futures and Options - ICE Futures Europe,170314,2886988,706277,1412130,479872,27418,498785,92799,85694,229011,452454,405986,-143317,-705853,0.156721815262,0.14062614739,-0.0496423954654,-0.244494608221,50.92
