Market_and_Exchange_Names,As_of_Date_In_Form_YYMMDD,Open_Interest_All,Prod_Merc_Positions_Long_ALL,Prod_Merc_Positions_Short_ALL,Swap_Positions_Long_All,Swap__Positions_Short_All,M_Money_Positions_Long_ALL,M_Money_Positions_Short_ALL,Other_Rept_Positions_Long_ALL,Other_Rept_Positions_Short_ALL,Swap_net,Managed_net,other_net,Prod_net,Swap_ratio,Managed_ratio,other_ratio,Prod_ratio,spot_price
"CRUDE OIL, LIGHT SWEET-WTI - ICE FUTURES EUROPE",170829,757928,261682,180986,18038,97184,39730,21137,32529,55228,-79146,18593,-22699,80696,-0.10442416693934,0.02453135390169,-0.029948755026863,0.10646921607329,46.44
"CRUDE OIL, LIGHT SWEET-WTI - ICE FUTURES EUROPE",170822,752665,263383,193398,19534,95549,38994,20694,32737,42821,-76015,18300,-10084,69985,-0.10099446632964,0.024313605654574,-0.013397726744302,0.09298293397461,47.83
"CRUDE OIL, LIGHT SWEET-WTI - ICE FUTURES EUROPE",170815,822503,276819,203636,15302,97441,40558,20607,31989,42262,-82139,19951,-10273,73183,-0.099864681344627,0.024256446481046,-0.012489924048909,0.08897596726091,47.55
"CRUDE OIL, LIGHT SWEET-WTI - ICE FUTURES EUROPE",170808,822935,258043,211531,16616,72512,43545,19457,34335,49689,-55896,24088,-15354,46512,-0.067922739949085,0.029270841560998,-0.018657609653253,0.056519652220406,49.17
"CRUDE OIL, LIGHT SWEET-WTI - ICE FUTURES EUROPE",170801,798528,239570,226444,25427,59869,44679,20211,41295,43740,-34442,24468,-2445,13126,-0.043131862627234,0.030641380139457,-0.003061883866314,0.016437745451631,49.16
"CRUDE OIL, LIGHT SWEET-WTI - ICE FUTURES EUROPE",170725,748861,230592,224155,24183,61064,42829,20140,42862,31250,-36881,22689,11612,6437,-0.049249460180194,0.030298012581774,0.01550621543918,0.0085957207011715,47.89
"CRUDE OIL, LIGHT SWEET-WTI - ICE FUTURES EUROPE",170718,734864,221301,228367,28799,64566,47563,24378,42521,21724,-35767,23185,20797,-7066,-0.048671590933833,0.031550055520477,0.028300474645649,-0.0096153846153846,46.59
"CRUDE OIL, LIGHT SWEET-WTI - ICE FUTURES EUROPE",170711,747663,215065,225497,29000,64028,45423,21673,44150,21514,-35028,23750,22636,-10432,-0.046849984551864,0.031765648427166,0.030275672328308,-0.013952810290198,45.04
"CRUDE OIL, LIGHT SWEET-WTI - ICE FUTURES EUROPE",170703,740082,214207,231651,33868,62181,41697,18838,42053,21567,-28313,22859,20486,-17444,-0.038256571569096,0.030887117913961,0.027680716461149,-0.023570361122146,47.07
"CRUDE OIL, LIGHT SWEET-WTI - ICE FUTURES EUROPE",170627,733864,207854,223635,32758,61209,42963,19278,45296,22281,-28451,23685,23015,-15781,-0.038768763694636,0.032274372363272,0.031361396662052,-0.021503984389478,44.24
