Market_and_Exchange_Names,As_of_Date_In_Form_YYMMDD,Open_Interest_All,Prod_Merc_Positions_Long_ALL,Prod_Merc_Positions_Short_ALL,Swap_Positions_Long_All,Swap__Positions_Short_All,M_Money_Positions_Long_ALL,M_Money_Positions_Short_ALL,Other_Rept_Positions_Long_ALL,Other_Rept_Positions_Short_ALL,Swap_net,Managed_net,other_net,Prod_net,Swap_ratio,Managed_ratio,other_ratio,Prod_ratio,spot_price
"CRUDE OIL, LIGHT SWEET-WTI - ICE FUTURES EUROPE",170829,572953,250086,168353,25625,80136,39452,20959,29794,76068,-54511,18493,-46274,81733,-0.095140439093608,0.032276643983014,-0.080764041727681,0.14265218962114,46.44
"CRUDE OIL, LIGHT SWEET-WTI - ICE FUTURES EUROPE",170822,571769,251537,181154,25735,80081,38685,20254,31072,63287,-54346,18431,-32215,70383,-0.095048874632937,0.032235045971363,-0.056342683846099,0.12309691501288,47.83
"CRUDE OIL, LIGHT SWEET-WTI - ICE FUTURES EUROPE",170815,610083,264191,189771,18093,81809,39975,19857,31528,61797,-63716,20118,-30269,74420,-0.10443824856618,0.032975840992127,-0.049614560641749,0.12198340225838,47.55
"CRUDE OIL, LIGHT SWEET-WTI - ICE FUTURES EUROPE",170808,601950,245339,197854,23666,66634,42866,18275,36390,66365,-42968,24591,-29975,47485,-0.071381343965446,0.040852230251682,-0.049796494725476,0.07888528947587,49.17
"CRUDE OIL, LIGHT SWEET-WTI - ICE FUTURES EUROPE",170801,584987,227739,214102,30683,55118,44268,19004,41447,55467,-24435,25264,-14020,13637,-0.041770158994986,0.043187284503758,-0.023966344551246,0.023311629147314,49.16
"CRUDE OIL, LIGHT SWEET-WTI - ICE FUTURES EUROPE",170725,556213,219322,212593,27117,51043,42744,19079,40610,43386,-23926,23665,-2776,6729,-0.043015894989869,0.042546650294042,-0.0049908937763051,0.012097883364826,47.89
"CRUDE OIL, LIGHT SWEET-WTI - ICE FUTURES EUROPE",170718,554531,210494,218006,31475,55583,47633,23455,40901,32449,-24108,24178,8452,-7512,-0.043474575812714,0.043600808611241,0.015241708759294,-0.013546582607645,46.59
"CRUDE OIL, LIGHT SWEET-WTI - ICE FUTURES EUROPE",170711,545765,203883,215391,33264,56083,44906,20695,43064,32234,-22819,24211,10830,-11508,-0.041811035885409,0.044361584198327,0.019843705624216,-0.021085998552491,45.04
"CRUDE OIL, LIGHT SWEET-WTI - ICE FUTURES EUROPE",170703,544172,203826,221932,37359,56685,41177,17789,42294,28887,-19326,23388,13407,-18106,-0.035514506442816,0.042979058091927,0.024637430812317,-0.033272568232103,47.07
"CRUDE OIL, LIGHT SWEET-WTI - ICE FUTURES EUROPE",170627,535429,197218,213451,37027,56451,42738,18543,45431,31508,-19424,24195,13923,-16233,-0.036277452285924,0.045188064150429,0.026003447702683,-0.030317745209916,44.24
"CRUDE OIL, LIGHT SWEET-WTI - ICE FUTURES EUROPE",170620,541232,197652,230805,39228,56467,46086,20550,49678,24461,-17239,25536,25217,-33153,-0.031851405681852,0.047181245750436,0.046591849705856,-0.061254692996719,43.51
"CRUDE OIL, LIGHT SWEET-WTI - ICE FUTURES EUROPE",170613,576113,212676,258381,33060,54591,43262,22773,58302,11574,-21531,20489,46728,-45705,-0.037372876501659,0.035564203550345,0.081109087974061,-0.079333394663894,46.46
"CRUDE OIL, LIGHT SWEET-WTI - ICE FUTURES EUROPE",170606,598744,227152,261199,20747,56537,46516,24368,61120,12965,-35790,22148,48155,-34047,-0.059775129270606,0.036990767339631,0.080426693211122,-0.05686403538073,48.19
"CRUDE OIL, LIGHT SWEET-WTI - ICE FUTURES EUROPE",170530,582722,232865,248748,18440,63153,60180,26027,42954,16087,-44713,34153,26867,-15883,-0.076731271515405,0.058609422674963,0.046106033408727,-0.027256564879994,49.66
"CRUDE OIL, LIGHT SWEET-WTI - ICE FUTURES EUROPE",170523,567614,236346,232433,17066,60710,55926,26446,38502,29195,-43644,29480,9307,3913,-0.076890281071291,0.051936703463974,0.01639670621232,0.006893769357345,51.47
"CRUDE OIL, LIGHT SWEET-WTI - ICE FUTURES EUROPE",170516,589773,241206,239129,19572,61031,54577,29840,37121,22988,-41459,24737,14133,2077,-0.070296537820483,0.04194325613414,0.023963457126725,0.0035216939398718,48.66
"CRUDE OIL, LIGHT SWEET-WTI - ICE FUTURES EUROPE",170509,604583,252676,261092,22159,62279,51618,26318,47585,21863,-40120,25300,25722,-8416,-0.066359788482309,0.041847025139642,0.04254502690284,-0.013920338481234,45.88
"CRUDE OIL, LIGHT SWEET-WTI - ICE FUTURES EUROPE",170502,603641,274565,259113,20131,69177,47829,26073,42655,30326,-49046,21756,12329,15452,-0.081250279553576,0.036041289441903,0.020424391318681,0.025597996159969,47.66
"CRUDE OIL, LIGHT SWEET-WTI - ICE FUTURES EUROPE",170425,599243,270409,251821,22384,71902,48816,18145,40478,41331,-49518,30671,-853,18588,-0.08263425688744,0.051182909103652,-0.0014234626019828,0.03101913580968,49.56
"CRUDE OIL, LIGHT SWEET-WTI - ICE FUTURES EUROPE",170418,612427,284256,259321,19528,83502,49503,16867,39017,32255,-63974,32636,6762,24935,-0.10445979684109,0.053289616558382,0.011041315944594,0.04071505665165,52.85
"CRUDE OIL, LIGHT SWEET-WTI - ICE FUTURES EUROPE",170411,633068,290265,255586,24590,79475,47042,19336,38077,45839,-54885,27706,-7762,34679,-0.086696847731997,0.043764650874788,-0.012260926156432,0.054779265418565,53.40
"CRUDE OIL, LIGHT SWEET-WTI - ICE FUTURES EUROPE",170404,637258,284269,252115,26162,73265,44663,19363,39597,52288,-47103,25300,-12691,32154,-0.07391511758189,0.039701345451921,-0.019915010874716,0.050456800856168,51.03
"CRUDE OIL, LIGHT SWEET-WTI - ICE FUTURES EUROPE",170328,604651,263195,237295,29609,68447,44270,20242,40219,50960,-38838,24028,-10741,25900,-0.064232094216333,0.039738626083476,-0.017763966321068,0.042834626917015,48.37
"CRUDE OIL, LIGHT SWEET-WTI - ICE FUTURES EUROPE",170321,602603,253523,230972,28563,67938,44824,24636,41988,45702,-39375,20188,-3714,22551,-0.065341526676767,0.033501326744142,-0.0061632617162543,0.03742264807842,48.24
"CRUDE OIL, LIGHT SWEET-WTI - ICE FUTURES EUROPE",170314,624077,256976,241355,28389,68674,47232,23009,44609,45673,-40285,24223,-1064,15621,-0.064551329403263,0.03881412069344,-0.0017049178226405,0.025030565138597,47.72
"CRUDE OIL, LIGHT SWEET-WTI - ICE FUTURES EUROPE",170307,608829,253919,245242,29386,61714,53715,28219,38570,40602,-32328,25496,-2032,8677,-0.053098653316448,0.041877111635615,-0.0033375545514422,0.014251949233693,53.14
"CRUDE OIL, LIGHT SWEET-WTI - ICE FUTURES EUROPE",170228,610345,254091,245166,26900,63353,54538,20699,35332,40444,-36453,33839,-5112,8925,-0.059725237365752,0.055442413716832,-0.0083755908543529,0.014622877225176,54.01
"CRUDE OIL, LIGHT SWEET-WTI - ICE FUTURES EUROPE",170221,593462,247940,222543,24234,62761,46664,17450,37225,53336,-38527,29214,-16111,25397,-0.064919068112196,0.049226403712453,-0.027147483747906,0.042794652395604,54.33
"CRUDE OIL, LIGHT SWEET-WTI - ICE FUTURES EUROPE",170214,620693,252211,231010,19695,65983,47517,19102,34978,41467,-46288,28415,-6489,21201,-0.074574709236289,0.045779475521715,-0.010454443662165,0.034156982598483,53.20
"CRUDE OIL, LIGHT SWEET-WTI - ICE FUTURES EUROPE",170207,613075,228602,223128,19764,56137,46997,20431,40064,38376,-36373,26566,1688,5474,-0.059328793377645,0.043332381845614,0.002753333605187,0.0089287607552094,52.17
